,Region/Country/Area,"Population, density and surface area",Year,Series,Value,Footnotes,Source
0,1,"Total, all countries or areas",2010,Population mid-year estimates (millions),"7,021.73",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
1,1,"Total, all countries or areas",2010,Population mid-year estimates for males (millions),"3,533.14",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
2,1,"Total, all countries or areas",2010,Population mid-year estimates for females (millions),"3,488.59",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
3,1,"Total, all countries or areas",2010,Sex ratio (males per 100 females),101.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
4,1,"Total, all countries or areas",2010,Population aged 0 to 14 years old (percentage),27.3,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
5,1,"Total, all countries or areas",2010,Population aged 60+ years old (percentage),11.0,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
6,1,"Total, all countries or areas",2010,Population density,53.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
7,1,"Total, all countries or areas",2015,Population mid-year estimates (millions),"7,470.49",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
8,1,"Total, all countries or areas",2015,Population mid-year estimates for males (millions),"3,761.33",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
9,1,"Total, all countries or areas",2015,Population mid-year estimates for females (millions),"3,709.16",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
10,1,"Total, all countries or areas",2015,Sex ratio (males per 100 females),101.4,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
11,1,"Total, all countries or areas",2015,Population aged 0 to 14 years old (percentage),26.6,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
12,1,"Total, all countries or areas",2015,Population aged 60+ years old (percentage),12.2,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
13,1,"Total, all countries or areas",2015,Population density,57.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
14,1,"Total, all countries or areas",2022,Population mid-year estimates (millions),"8,021.41",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
15,1,"Total, all countries or areas",2022,Population mid-year estimates for males (millions),"4,035.01",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
16,1,"Total, all countries or areas",2022,Population mid-year estimates for females (millions),"3,986.40",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
17,1,"Total, all countries or areas",2022,Sex ratio (males per 100 females),101.2,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
18,1,"Total, all countries or areas",2022,Population aged 0 to 14 years old (percentage),25.3,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
19,1,"Total, all countries or areas",2022,Population aged 60+ years old (percentage),13.8,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
20,1,"Total, all countries or areas",2022,Population density,61.5,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
21,1,"Total, all countries or areas",2022,Surface area (thousand km2),"130,094",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
22,1,"Total, all countries or areas",2024,Population mid-year estimates (millions),"8,161.97",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
23,1,"Total, all countries or areas",2024,Population mid-year estimates for males (millions),"4,103.61",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
24,1,"Total, all countries or areas",2024,Population mid-year estimates for females (millions),"4,058.36",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
25,1,"Total, all countries or areas",2024,Sex ratio (males per 100 females),101.1,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
26,1,"Total, all countries or areas",2024,Population aged 0 to 14 years old (percentage),24.7,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
27,1,"Total, all countries or areas",2024,Population aged 60+ years old (percentage),14.5,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
28,1,"Total, all countries or areas",2024,Population density,62.6,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
29,2,Africa,2010,Population mid-year estimates (millions),"1,072.22",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
30,2,Africa,2010,Population mid-year estimates for males (millions),534.30,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
31,2,Africa,2010,Population mid-year estimates for females (millions),537.91,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
32,2,Africa,2010,Sex ratio (males per 100 females),99.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
33,2,Africa,2010,Population aged 0 to 14 years old (percentage),41.8,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
34,2,Africa,2010,Population aged 60+ years old (percentage),5.0,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
35,2,Africa,2010,Population density,36.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
36,2,Africa,2015,Population mid-year estimates (millions),"1,220.08",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
37,2,Africa,2015,Population mid-year estimates for males (millions),608.91,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
38,2,Africa,2015,Population mid-year estimates for females (millions),611.17,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
39,2,Africa,2015,Sex ratio (males per 100 females),99.6,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
40,2,Africa,2015,Population aged 0 to 14 years old (percentage),41.3,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
41,2,Africa,2015,Population aged 60+ years old (percentage),5.2,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
42,2,Africa,2015,Population density,41.3,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
43,2,Africa,2022,Population mid-year estimates (millions),"1,446.88",,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
44,2,Africa,2022,Population mid-year estimates for males (millions),722.64,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
45,2,Africa,2022,Population mid-year estimates for females (millions),724.25,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
46,2,Africa,2022,Sex ratio (males per 100 females),99.8,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
47,2,Africa,2022,Population aged 0 to 14 years old (percentage),39.8,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
48,2,Africa,2022,Population aged 60+ years old (percentage),5.6,Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
49,2,Africa,2022,Population density,49.0,,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
50,2,Africa,2022,Surface area (thousand km2),"29,648",,"United Nations Statistics Division, New York, ""Demographic Yearbook 2021"" and the demographic statistics database, last accessed June 2022."
51,2,Africa,2024,Population mid-year estimates (millions),"1,515.14",Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
52,2,Africa,2024,Population mid-year estimates for males (millions),756.81,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
53,2,Africa,2024,Population mid-year estimates for females (millions),758.33,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision, last accessed July 2024."
54,2,Africa,2024,Sex ratio (males per 100 females),99.8,Projected estimate (medium fertility variant).,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
55,2,Africa,2024,Population aged 0 to 14 years old (percentage),39.1,Projected estimate (medium fertility variant).;Calculated by the UN Statistics Division.,"United Nations Population Division, New York, World Population Prospects: The 2024 Revision; supplemented by data from the United Nations Statistics Division, New York, Demographic Yearbook 2022 and Secretariat for the Pacific Community (SPC) for small countries or areas, last accessed July 2024."
